"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Rafael Marchan","PHI","8","18","19","5","4","1","0","0","2","0","1","0","6","0","0","0","1","0","0",".278","21646"
"Jared Walsh","LAA","90","339","369","94","49","22","1","22","47","66","26","4","103","3","1","0","7","2","1",".277","18607"
"Shohei Ohtani","LAA","90","314","358","87","30","19","4","34","66","74","40","5","105","3","1","0","4","12","4",".277","19755"
"Luke Williams","PHI","31","65","70","18","13","4","0","1","6","4","5","0","14","0","0","0","1","1","1",".277","19931"
"Tyler O'Neill","STL","71","242","265","67","34","17","0","16","39","38","15","0","80","6","2","0","4","7","3",".277","15711"
"Marcus Semien","TOR","90","365","406","101","55","22","1","23","70","58","38","0","96","1","2","0","5","10","1",".277","12533"
"Manny Machado","SDP","88","315","367","87","53","16","2","16","58","65","44","5","61","1","7","0","7","9","2",".276","11493"
"J.P. Crawford","SEA","93","344","379","95","68","22","0","5","48","31","32","0","61","1","2","0","7","3","3",".276","15491"
"Luis Guillorme","NYM","45","87","107","24","22","2","0","0","8","1","19","2","15","0","0","1","0","0","2",".276","16451"
"Akil Baddoo","DET","73","218","247","60","35","14","5","6","31","31","27","1","71","0","2","0","1","14","3",".275","22168"
"Alex Bregman","HOU","59","229","262","63","42","14","0","7","37","34","29","4","42","2","2","0","11","1","0",".275","17678"
"Jesus Aguilar","MIA","90","309","349","85","53","15","0","17","31","68","29","3","63","3","7","0","6","0","0",".275","11342"
"Gio Urshela","NYY","78","295","314","81","55","14","1","11","30","38","17","0","78","1","1","0","11","1","0",".275","10681"
"Ty France","SEA","84","306","351","84","55","20","0","9","42","41","26","1","61","15","4","0","5","0","0",".275","17982"
"Donovan Solano","SFG","63","215","237","59","45","11","0","3","24","21","16","0","42","2","4","0","6","1","0",".274","8623"
"J.T. Realmuto","PHI","73","248","289","68","44","13","2","9","34","38","33","2","67","6","2","0","1","5","3",".274","11739"
"Nicky Lopez","KCR","84","241","280","66","54","9","3","0","39","19","31","0","37","1","2","5","4","8","0",".274","19339"
"Andrew Benintendi","KCR","69","256","278","70","51","8","1","10","34","35","19","0","53","1","2","0","2","7","7",".273","17901"
"Max Muncy","LAD","81","271","335","74","37","15","1","21","57","57","59","4","59","5","0","0","4","1","0",".273","13301"
"Eric Hosmer","SDP","87","308","339","84","63","13","0","8","33","47","25","1","53","4","1","1","9","5","2",".273","3516"
"Jose Altuve","HOU","81","330","381","90","60","10","0","20","66","55","43","2","60","2","6","0","6","4","1",".273","5417"
"Eric Campbell","SEA","4","11","12","3","3","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".273","6938"
"Ryan Lavarnway","CLE","4","11","12","3","2","1","0","0","1","0","1","0","4","0","0","0","0","0","0",".273","8879"
"Andy Burns","LAD","9","11","15","3","2","1","0","0","2","0","3","0","1","1","0","0","1","0","0",".273","12779"
"Patrick Mazeika","NYM","16","22","24","6","5","0","0","1","1","4","1","0","3","1","0","0","0","0","0",".273","18142"
"Connor Wong","BOS","4","11","11","3","2","1","0","0","2","0","0","0","7","0","0","0","0","0","0",".273","19896"
"Chris Taylor","LAD","89","305","357","83","54","15","3","11","64","49","44","1","93","7","1","0","4","8","1",".272","13757"
"Yoan Moncada","CHW","81","283","347","77","54","16","1","6","40","41","57","0","86","5","2","0","2","2","1",".272","17232"
"Whit Merrifield","KCR","92","364","403","99","68","21","2","8","52","51","27","1","54","3","9","0","8","24","1",".272","11281"
"Alex Verdugo","BOS","86","331","367","90","62","18","1","9","55","36","31","2","51","3","2","0","8","5","1",".272","17027"
"Jonathan India","CIN","82","269","330","73","52","12","2","7","43","36","43","1","74","14","3","1","9","7","3",".271","21523"
"Tommy Pham","SDP","92","295","353","80","55","13","2","10","55","33","51","0","76","4","3","0","7","13","6",".271","2967"
"Hanser Alberto","KCR","66","155","162","42","25","14","2","1","18","11","2","0","17","2","1","2","1","1","1",".271","11902"
"Christian Arroyo","BOS","50","155","170","42","24","12","0","6","21","25","7","0","41","6","0","1","1","1","0",".271","16434"
"Paul Goldschmidt","STL","91","347","386","94","63","15","1","15","50","52","36","0","77","2","1","0","8","5","0",".271","9218"
"Yermin Mercedes","CHW","68","240","262","65","48","9","1","7","26","37","20","1","46","1","1","0","7","0","1",".271","17423"
"Mookie Betts","LAD","81","314","373","85","43","25","3","14","63","40","47","2","60","8","4","0","3","7","3",".271","13611"
"Kyle Tucker","HOU","82","303","336","82","45","21","1","15","49","50","27","2","55","1","4","0","5","8","1",".271","18345"
"Trent Grisham","SDP","67","248","283","67","40","14","2","11","37","38","32","0","65","2","1","0","7","9","2",".270","18564"
"Tucker Barnhart","CIN","70","211","237","57","36","17","0","4","30","29","21","0","69","4","1","0","4","0","0",".270","10200"
"Reese McGuire","TOR","43","115","123","31","22","8","0","1","15","6","6","0","25","1","0","1","2","0","0",".270","15674"
"John Hicks","TEX","8","26","26","7","3","0","0","4","6","6","0","0","7","0","0","0","1","0","0",".269","12547"
"DJ LeMahieu","NYY","88","353","399","95","76","12","0","7","47","37","42","1","61","2","2","0","7","3","0",".269","9874"
