Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Vince Velasquez","PHI",11,18,15,2,2,0,0,0,0,2,1,0,6,0,0,2,0,0,0,0.13333333,11189
2021,"Jonathan Schoop","DET",83,274,251,68,48,9,1,10,10,34,15,0,51,3,5,0,6,0,0,0.27091633,11265
2021,"Whit Merrifield","KCR",85,301,272,72,51,13,2,6,6,41,19,0,44,3,7,0,6,0,0,0.26470588,11281
2021,"Bryan Holaday","ARI",3,8,8,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.125,11287
2021,"Jake Marisnick","CHC",37,67,62,10,4,2,1,3,3,12,4,0,22,1,0,0,1,0,0,0.16129032,11339
2021,"Jesus Aguilar","MIA",85,256,233,65,41,10,0,14,14,57,17,0,46,1,4,0,5,0,0,0.27896996,11342
2021,"Seth Frankoff","ARI",3,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,11346
2021,"Ronald Torreyes","PHI",38,81,78,18,13,3,0,2,2,12,2,0,8,0,0,1,2,0,0,0.23076923,11400
2021,"Gary Sanchez","NYY",70,193,164,34,19,6,0,9,9,23,26,2,55,3,0,0,10,0,0,0.20731707,11442
2021,"Mark Canha","OAK",69,217,180,47,31,6,3,7,7,24,26,0,43,10,1,0,5,0,0,0.26111111,11445
2021,"Michael A. Taylor","KCR",77,227,208,52,40,4,1,7,7,25,15,0,60,3,1,0,5,0,0,0.25,11489
2021,"Aaron Sanchez","SFG",4,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11490
2021,"Manny Machado","SDP",85,283,250,72,45,13,2,12,12,56,26,2,47,1,6,0,5,0,0,0.288,11493
2021,"Willson Contreras","CHC",78,229,190,40,25,7,0,8,8,17,29,0,68,9,1,0,6,0,0,0.21052632,11609
2021,"Brandon Drury","NYM",18,31,29,6,5,0,0,1,1,5,2,0,7,0,0,0,0,0,0,0.20689655,11615
2021,"Elias Diaz","COL",48,113,102,25,16,5,0,4,4,13,10,0,17,0,1,0,7,0,0,0.24509804,11680
2021,"Carlos Martinez","STL",13,21,20,2,1,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0.1,11682
2021,"Matt Harvey","BAL",2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11713
2021,"Nick Castellanos","CIN",83,274,249,84,47,23,1,13,13,44,21,2,60,3,1,0,7,0,0,0.3373494,11737
2021,"J.T. Realmuto","PHI",67,202,174,48,34,4,2,8,8,28,22,1,49,4,2,0,1,0,0,0.27586207,11739
2021,"Taijuan Walker","NYM",13,24,22,1,1,0,0,0,0,0,1,0,14,0,0,1,1,0,0,0.04545455,11836
2021,"Hanser Alberto","KCR",48,88,86,24,14,9,1,0,0,5,0,0,10,1,0,1,0,0,0,0.27906977,11902
2021,"Jon Berti","MIA",67,161,141,35,25,7,1,2,2,13,16,0,36,2,1,1,5,0,0,0.24822695,12037
2021,"Kyle Hendricks","CHC",13,21,17,2,1,1,0,0,0,0,1,0,10,0,0,3,0,0,0,0.11764706,12049
2021,"Nick Ahmed","ARI",76,206,191,34,25,8,0,1,1,11,13,0,59,1,0,1,5,0,0,0.17801047,12147
2021,"Austin Barnes","LAD",41,112,94,20,13,5,0,2,2,12,16,1,26,2,0,0,4,0,0,0.21276596,12158
2021,"Xander Bogaerts","BOS",81,246,224,70,38,22,0,10,10,32,16,0,44,3,3,0,4,0,0,0.3125,12161
2021,"Miguel Sano","MIN",62,161,142,28,9,8,0,11,11,25,17,0,63,1,1,0,2,0,0,0.1971831,12164
2021,"Maikel Franco","BAL",73,215,204,43,25,11,0,7,7,31,10,0,32,1,0,0,6,0,0,0.21078431,12179
2021,"Jorge Alfaro","MIA",46,118,109,22,20,1,0,1,1,4,5,0,38,4,0,0,1,0,0,0.20183486,12180
